Starting omnigent server on 127.0.0.1:57380
  database:  sqlite:////private/tmp/rh-omnigent-phased-budget/omnigent/sessions.db
  artifacts: /private/tmp/rh-omnigent-phased-budget/omnigent/artifacts
  log:       /private/tmp/rh-omnigent-phased-budget/omnigent/data/logs/server/server-20260908-145741-203258.log
INFO  [omnigent.runtime.harnesses.process_manager] HarnessProcessManager started; instance_dir=/tmp/omnigent-501/ap-fb7e215686494a068a35b433f98415eb
INFO  [omnigent.server.app] Registered built-in claude-native-ui agent as 58a1bc5bf0bba6d31ceeb7661f8d751c
INFO  [omnigent.server.app] Registered built-in codex-native-ui agent as 16a06503889b0c3034496821afd41b9e
INFO  [omnigent.server.app] Registered built-in pi-native-ui agent as a1b7caa17404f6716180ba69aa37c592
INFO  [omnigent.server.app] Registered built-in opencode-native-ui agent as cf65137fc096a61a6434956c92093549
INFO  [omnigent.server.app] Registered built-in cursor-native-ui agent as a5fac3a24c1961af2dbb1cafe0a81425
INFO  [omnigent.server.app] Registered built-in kiro-native-ui agent as cc8fef6623a8792be9c039cf2673ce93
INFO  [omnigent.server.app] Registered built-in goose-native-ui agent as 93dd98c4a79bd26a1dd5dc592ee38afb
INFO  [omnigent.server.app] Registered built-in antigravity-native-ui agent as db097e89797b66fb7e30699813ae09d2
INFO  [omnigent.server.app] Registered built-in qwen-native-ui agent as 2cffe181a2fc6cf417a49e1cf8b28d77
INFO  [omnigent.server.app] Registered built-in kimi-native-ui agent as 9e7d109e7da66e8b5ed4ec3ecb54cef1
INFO  [omnigent.server.app] Registered built-in hermes-native-ui agent as 32113910cf31fcc63dc96bbde428b97c
INFO  [omnigent.server.app] Registered built-in devin agent as 507a2065d93e0c5f3a7c752e0bf478aa
INFO  [omnigent.server.app] Registered built-in grok agent as ae9886388305e5dea605277965797cf1
INFO  [omnigent.server.app] Registered built-in debby agent as eac9e787e68ae6774d77e618031c287a
INFO  [omnigent.server.app] Registered built-in polly agent as 057995d1517418e6839f51d340785dd6
INFO  [omnigent.policies.registry] Policy registry loaded: 31 entries from 12 modules
INFO  [omnigent.server.scheduled.scheduler] ScheduledTaskScheduler started with 0 job(s)
INFO  [omnigent.server.routes.runner_tunnel] Runner runner_token_864c6104db7849abfb824e0f5896e4ed connected (version=0.13.0.dev0, harnesses=['claude-native', 'claude-sdk', 'codex', 'openai-agents', 'open-responses', 'pi'])
INFO  [omnigent.server.app] _on_runner_connect: runner=runner_token_864c6104db7849abfb824e0f5896e4ed, 0 bound session(s)
INFO  [httpx] HTTP Request: GET http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533 "HTTP/1.1 404 Not Found"
INFO  [httpx] HTTP Request: GET http://runner/v1/sessions/4c7e3952a92043baa96d8ae73a26d533 "HTTP/1.1 404 Not Found"
